vaalipiiri,id,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.
02 Uudenmaan vaalipiiri,4738,Hautakangas,Tanja,Vasemmistoliitto,38,F,0
01 Helsingin vaalipiiri,4347,Hautakangas,Ville,Piraattipuolue,37,M,0
02 Uudenmaan vaalipiiri,5693,Hautala,Irma Marjatta,Suomen Kommunistinen Puolue,71,F,0
10 Vaasan vaalipiiri,4962,Hautala,Lasse ,Suomen Keskusta,52,M,1
10 Vaasan vaalipiiri,6055,Hautala,Olavi,Muutos 2011,0,M,0
04 Satakunnan vaalipiiri,5721,Hautala,Päivi-Maria,Suomen Keskusta,58,F,0
10 Vaasan vaalipiiri,6065,Hautoniemi,Jere,Itsenäisyyspuolue,0,M,0
02 Uudenmaan vaalipiiri,5335,Havana,Kaisu Helena,Köyhien Asialla,65,F,0
03 Varsinais-Suomen vaalipiiri,4601,Haverinen,Pertti,Suomen Kommunistinen Puolue,70,M,0
02 Uudenmaan vaalipiiri,5487,Haverinen,Soili,Suomen Kristillisdemokraatit (KD),38,F,0
09 Savo-Karjalan vaalipiiri,4655,Haverinen,Timo,Suomen Sosialidemokraattinen Puolue,50,M,0
04 Satakunnan vaalipiiri,5958,Heikkilä,Jonna,Kansallinen Kokoomus,38,F,0
03 Varsinais-Suomen vaalipiiri,5406,Heikkilä,Lauri,Perussuomalaiset,57,M,1
08 Kaakkois-Suomen vaalipiiri,6025,Heikkilä,Markku,Suomen Keskusta,45,M,0
06 Hämeen vaalipiiri,5968,Heikkilä,Olli,Piraattipuolue,44,M,0
09 Savo-Karjalan vaalipiiri,5091,Heikkinen,Hannakaisa,Suomen Keskusta,40,F,0
12 Oulun vaalipiiri,4474,Heikkinen,Janne,Kansallinen Kokoomus,24,M,0
11 Keski-Suomen vaalipiiri,4494,Heikkinen,Maarit,Kansallinen Kokoomus,37,F,0
01 Helsingin vaalipiiri,5880,Heikkinen,Paavo,Suomen Työväenpuolue STP,0,M,0
13 Lapin vaalipiiri,4657,Heikkuri,Marko,Muutos 2011,35,M,0
11 Keski-Suomen vaalipiiri,5681,Heikola,Matias,Vasemmistoliitto,19,M,0
07 Pirkanmaan vaalipiiri,5536,Heilimo,Hanna-Kaisa,Vihreä liitto,36,F,0
04 Satakunnan vaalipiiri,5954,Heino,Mirva,Suomen Sosialidemokraattinen Puolue,0,F,0
04 Satakunnan vaalipiiri,4328,Heino,Oili,Vasemmistoliitto,53,F,0
10 Vaasan vaalipiiri,4365,Heinonen,Ilmari,Kansallinen Kokoomus,65,M,0
04 Satakunnan vaalipiiri,4525,Heinonen,Kristiina,Perussuomalaiset,51,F,0
10 Vaasan vaalipiiri,5639,Heinonen,Marko ,Kansallinen Kokoomus,44,M,0
12 Oulun vaalipiiri,5657,Heinonen,Paavo,Vasemmistoliitto,36,M,0
08 Kaakkois-Suomen vaalipiiri,5749,Heinonen,Saku Santeri,Vihreä liitto,40,M,0
07 Pirkanmaan vaalipiiri,4483,Heinonen,Tiina,Vasemmistoliitto,42,F,0
06 Hämeen vaalipiiri,5222,Heinonen,Timo,Kansallinen Kokoomus,40,M,1
01 Helsingin vaalipiiri,4368,Heinäluoma,Eero,Suomen Sosialidemokraattinen Puolue,59,M,1
07 Pirkanmaan vaalipiiri,4656,Heinämäki,Anna-Kaisa,Vihreä liitto,37,F,0
02 Uudenmaan vaalipiiri,4875,Heir,Björn,Suomen ruotsalainen kansanpuolue,52,M,0
12 Oulun vaalipiiri,5135,Heiskanen,Miikka-Aukusti,Suomen Sosialidemokraattinen Puolue,27,M,0
06 Hämeen vaalipiiri,5300,Heiskanen,Teppo,Vihreä liitto,50,M,0
08 Kaakkois-Suomen vaalipiiri,5068,Heistonen,Viola,Suomen Työväenpuolue STP,79,F,0
03 Varsinais-Suomen vaalipiiri,5932,Helenius,Ken,Suomen Kommunistinen Puolue,0,M,0
02 Uudenmaan vaalipiiri,5843,Helin,Anna,Kansallinen Kokoomus,0,F,0
01 Helsingin vaalipiiri,4534,Helin,Kirsi,Itsenäisyyspuolue,42,F,0
13 Lapin vaalipiiri,4611,Helin,Liisa,Perussuomalaiset,55,F,0
07 Pirkanmaan vaalipiiri,4718,Helin,Matti,Kansallinen Kokoomus,46,M,0
07 Pirkanmaan vaalipiiri,5999,Helin,Matti,Kansallinen Kokoomus,0,M,0
02 Uudenmaan vaalipiiri,5891,Helkkula,Vesa,Suomen Keskusta,56,M,0
03 Varsinais-Suomen vaalipiiri,4538,Hellman,Timo,Piraattipuolue,30,M,0
10 Vaasan vaalipiiri,4799,Hellström,Patrik,Suomen Kristillisdemokraatit (KD),41,M,0
08 Kaakkois-Suomen vaalipiiri,4606,Helminen,Harri,Suomen Sosialidemokraattinen Puolue,59,M,0
01 Helsingin vaalipiiri,4545,Helminen,Jyrki,Valitsijayhdistys Jyrki Helminen,52,M,0
09 Savo-Karjalan vaalipiiri,5003,Help,Anne,Kansallinen Kokoomus,41,F,0
13 Lapin vaalipiiri,6133,Helske,Kalle,Kansallinen Kokoomus,41,M,0
08 Kaakkois-Suomen vaalipiiri,4458,Heltimoinen,Ilpo,Perussuomalaiset,41,M,0
03 Varsinais-Suomen vaalipiiri,5285,Hemmilä,Pertti,Kansallinen Kokoomus,59,M,1
10 Vaasan vaalipiiri,4622,Henriksson,Anna-Maja,Suomen ruotsalainen kansanpuolue,51,F,1
02 Uudenmaan vaalipiiri,4251,Hentilä,Kai,Piraattipuolue,53,M,0
03 Varsinais-Suomen vaalipiiri,5388,Hentunen,Pasi,Itsenäisyyspuolue,55,M,0
04 Satakunnan vaalipiiri,4766,Hermo,Harri,Suomen Sosialidemokraattinen Puolue,57,M,0
03 Varsinais-Suomen vaalipiiri,4384,Hermonen,Merja,Vihreä liitto,53,F,0
01 Helsingin vaalipiiri,5022,Hernberg,Kaisa,Vihreä liitto,38,F,0
10 Vaasan vaalipiiri,5224,Hernesniemi,Aleksi,Perussuomalaiset,23,M,0
04 Satakunnan vaalipiiri,5578,Herrala,Marjatta,Itsenäisyyspuolue,66,F,0
01 Helsingin vaalipiiri,4642,Hertzberg,Veronica,Suomen ruotsalainen kansanpuolue,51,F,0
01 Helsingin vaalipiiri,4232,Hetemaj,Fatbardhe,Kansallinen Kokoomus,29,F,0
13 Lapin vaalipiiri,4316,Hietala,Kalle-Pekka,Vihreä liitto,26,M,0
01 Helsingin vaalipiiri,4608,Hietalahti,Niina,Suomen Keskusta,40,F,0
09 Savo-Karjalan vaalipiiri,4660,Hietanen,Elina,Vihreä liitto,21,F,0
01 Helsingin vaalipiiri,4378,Hiienkoski,Petteri,Suomen Kristillisdemokraatit (KD),49,M,0
08 Kaakkois-Suomen vaalipiiri,6017,Hiironen,Seppo,Vasemmistoliitto,0,M,0
07 Pirkanmaan vaalipiiri,5512,Hildén,Pekka,Suomen Kommunistinen Puolue,35,M,0
06 Hämeen vaalipiiri,4361,Hildén,Sirkku,Suomen Sosialidemokraattinen Puolue,38,F,0
13 Lapin vaalipiiri,5264,Hiltunen,Seija,Suomen Sosialidemokraattinen Puolue,58,F,0
08 Kaakkois-Suomen vaalipiiri,4790,Himanen,Petri,Suomen Kristillisdemokraatit (KD),49,M,0
11 Keski-Suomen vaalipiiri,6150,Hintikka,Risto,Valitsijayhdistys Risto Hintikka,0,,0
02 Uudenmaan vaalipiiri,5310,Hirvaskoski,Johannes,Suomen Keskusta,47,M,0
12 Oulun vaalipiiri,6191,Hirvelä,Timo,Suomen ruotsalainen kansanpuolue,63,M,0
11 Keski-Suomen vaalipiiri,6186,Hirvimäki,Petri,Piraattipuolue,48,M,0
02 Uudenmaan vaalipiiri,4295,Hirvisaari,James,Muutos 2011,54,M,1
08 Kaakkois-Suomen vaalipiiri,5519,Hirvonen,Timo,Itsenäisyyspuolue,64,M,0
07 Pirkanmaan vaalipiiri,5181,Hisinger,Birgitta ,Valitsijayhdistys Birgitta Hisinger,0,F,0
09 Savo-Karjalan vaalipiiri,4311,Hjälm,Heli,Kansallinen Kokoomus,48,F,0
12 Oulun vaalipiiri,4168,Hoikkaniemi,Marko,Suomen ruotsalainen kansanpuolue,43,M,0
10 Vaasan vaalipiiri,6048,Hokkanen,Heimo,Suomen Kristillisdemokraatit (KD),65,M,0
12 Oulun vaalipiiri,4689,Hokkanen,Inka,Suomen Sosialidemokraattinen Puolue,28,F,0
02 Uudenmaan vaalipiiri,5719,Hokkanen,Teemu,Vihreä liitto,35,M,0
03 Varsinais-Suomen vaalipiiri,5930,Holm,Eva,Suomen Kommunistinen Puolue,0,F,0
11 Keski-Suomen vaalipiiri,4909,Holm,Pauliina,Kansallinen Kokoomus,40,F,0
02 Uudenmaan vaalipiiri,5486,Holm,Stefan,Itsenäisyyspuolue,26,M,0
07 Pirkanmaan vaalipiiri,4792,Holma,Hanna,Suomen Keskusta,37,F,0
07 Pirkanmaan vaalipiiri,5238,Holma,Kimmo,Suomen Kristillisdemokraatit (KD),46,M,0
11 Keski-Suomen vaalipiiri,4975,Holmberg,Nico,Vihreä liitto,44,M,0
01 Helsingin vaalipiiri,6229,Holmsten,Kirsi,Itsenäisyyspuolue,55,F,0
06 Hämeen vaalipiiri,5223,Holopainen,Antti,Vasemmistoliitto,67,M,0
08 Kaakkois-Suomen vaalipiiri,4630,Holopainen,Hanna,Vihreä liitto,38,F,0
01 Helsingin vaalipiiri,5581,Holopainen,Mari,Vihreä liitto,34,F,0
13 Lapin vaalipiiri,6120,Holopainen,Teija,Kansallinen Kokoomus,51,F,0
10 Vaasan vaalipiiri,5390,Hongisto,Reijo,Perussuomalaiset,52,M,1
08 Kaakkois-Suomen vaalipiiri,4495,Honka,Jussi,Kansallinen Kokoomus,0,M,0
12 Oulun vaalipiiri,5138,Honkala,Kari,Vasemmistoliitto,51,M,0
01 Helsingin vaalipiiri,5675,Honkanen,Pia,Suomen Kommunistinen Puolue,38,F,0
03 Varsinais-Suomen vaalipiiri,5925,Honkasalo,Teppo,Itsenäisyyspuolue,0,M,0
01 Helsingin vaalipiiri,4817,Honkasalo,Veronika,Vasemmistoliitto,39,F,0
08 Kaakkois-Suomen vaalipiiri,5243,Honkimaa,Joonas,Suomen Sosialidemokraattinen Puolue,25,M,0
03 Varsinais-Suomen vaalipiiri,5696,Honkonen,Juhani,Itsenäisyyspuolue,31,M,0
11 Keski-Suomen vaalipiiri,4740,Honkonen,Petri,Suomen Keskusta,27,M,0
02 Uudenmaan vaalipiiri,5712,Hopsu,Inka,Vihreä liitto,38,F,0
09 Savo-Karjalan vaalipiiri,5105,Hoskonen,Hannu,Suomen Keskusta,57,M,0
11 Keski-Suomen vaalipiiri,6081,Hovila,Sari,Suomen Keskusta,0,F,0
13 Lapin vaalipiiri,4325,Huhtala,Jarmo,Vasemmistoliitto,52,M,0
07 Pirkanmaan vaalipiiri,4710,Huhtala ,Tatjaana ,Vasemmistoliitto,60,F,0
13 Lapin vaalipiiri,6129,Huhtamella,Valtteri,Suomen Sosialidemokraattinen Puolue,0,M,0
04 Satakunnan vaalipiiri,4952,Huhtanen,Tapio,Suomen Keskusta,56,M,0
04 Satakunnan vaalipiiri,5953,Huhtasaari,Laura,Perussuomalaiset,35,F,0
03 Varsinais-Suomen vaalipiiri,5255,Huittinen,Ulla,Suomen Keskusta,53,F,0
04 Satakunnan vaalipiiri,4830,Hulmi,Reetta,Vihreä liitto,32,F,0
08 Kaakkois-Suomen vaalipiiri,4371,Hultin,Jan,Kansallinen Kokoomus,58,M,0
11 Keski-Suomen vaalipiiri,4659,Humppi,Anna,Perussuomalaiset,30,F,0
09 Savo-Karjalan vaalipiiri,5604,Huohvanainen,Mari,Suomen Sosialidemokraattinen Puolue,39,F,0
11 Keski-Suomen vaalipiiri,5528,Huovinen,Susanna,Suomen Sosialidemokraattinen Puolue,42,F,1
02 Uudenmaan vaalipiiri,4345,Hurmalainen,Ahti,Suomen Kristillisdemokraatit (KD),54,M,0
01 Helsingin vaalipiiri,5863,Hursti,Rene,Perussuomalaiset,0,M,0
01 Helsingin vaalipiiri,5678,Huru,Nina,Perussuomalaiset,54,F,0
04 Satakunnan vaalipiiri,5854,Huru,Petri,Perussuomalaiset,48,M,0
12 Oulun vaalipiiri,4299,Husso,Jarmo,Kansallinen Kokoomus,61,M,0
01 Helsingin vaalipiiri,5277,Huttula,Tapio,Suomen Keskusta,51,M,0
09 Savo-Karjalan vaalipiiri,5092,Huttunen,Hanna,Suomen Keskusta,45,F,0
08 Kaakkois-Suomen vaalipiiri,6183,Huttunen,Heimo,Muutos 2011,0,M,0
11 Keski-Suomen vaalipiiri,5139,Huttunen,Marjukka,Vasemmistoliitto,28,F,0
11 Keski-Suomen vaalipiiri,4987,Huumonen,Hanna,Suomen Sosialidemokraattinen Puolue,26,F,0
12 Oulun vaalipiiri,6099,Hynynen,Evelyn,Suomen Kristillisdemokraatit (KD),53,F,0
02 Uudenmaan vaalipiiri,5547,Hyrkkö,Saara,Vihreä liitto,27,F,0
02 Uudenmaan vaalipiiri,5424,Hyrske,Oula,Vasemmistoliitto,32,M,0
08 Kaakkois-Suomen vaalipiiri,4519,Hyttinen,Jyrki,Kansallinen Kokoomus,52,M,0
01 Helsingin vaalipiiri,5078,Hyttinen,Nuutti,Perussuomalaiset,33,M,0
02 Uudenmaan vaalipiiri,4409,Hyttinen,Paula,Vasemmistoliitto,62,F,0
07 Pirkanmaan vaalipiiri,5992,Hyötynen,Kalle,Vasemmistoliitto,47,M,0
02 Uudenmaan vaalipiiri,5024,Häkkinen,Martti,Muutos 2011,63,M,0
08 Kaakkois-Suomen vaalipiiri,5837,Häkkänen,Antti ,Kansallinen Kokoomus,30,M,0
10 Vaasan vaalipiiri,4652,Häli,Pirkko,Suomen Kristillisdemokraatit (KD),66,F,0
12 Oulun vaalipiiri,6192,Hällfors,Pontus,Suomen ruotsalainen kansanpuolue,0,M,0
03 Varsinais-Suomen vaalipiiri,4908,Hällfors-Laaksonen,Tuula,Suomen Sosialidemokraattinen Puolue,52,F,0
11 Keski-Suomen vaalipiiri,4767,Hämynen,Miika,Piraattipuolue,29,M,0
12 Oulun vaalipiiri,4897,Hämäläinen,Arto,Itsenäisyyspuolue,34,M,0
01 Helsingin vaalipiiri,5859,Hämäläinen,Jari,Itsenäisyyspuolue,0,M,0
07 Pirkanmaan vaalipiiri,5983,Hämäläinen,Juha,Itsenäisyyspuolue,0,M,0
01 Helsingin vaalipiiri,5605,Hämäläinen,Juha,Suomen Kommunistinen Puolue,69,M,0
03 Varsinais-Suomen vaalipiiri,5320,Hämäläinen,Juha Ilari,Itsenäisyyspuolue,44,M,0
11 Keski-Suomen vaalipiiri,4399,Hämäläinen,Jukka,Suomen Sosialidemokraattinen Puolue,48,M,0
11 Keski-Suomen vaalipiiri,5602,Hämäläinen,Jyri,Piraattipuolue,26,M,0
06 Hämeen vaalipiiri,4282,Hämäläinen,Kristiina,Kansallinen Kokoomus,36,F,0
08 Kaakkois-Suomen vaalipiiri,5821,Hämäläinen,Taneli,Vasemmistoliitto,32,M,0
10 Vaasan vaalipiiri,4726,Hänninen,Ilkka,Vihreä liitto,32,M,0
12 Oulun vaalipiiri,4437,Hänninen,Juha,Kansallinen Kokoomus,55,M,0
12 Oulun vaalipiiri,4407,Hänninen,Katja,Vasemmistoliitto,35,F,1
13 Lapin vaalipiiri,5836,Hänninen,Sari,Vihreä liitto,50,F,0
08 Kaakkois-Suomen vaalipiiri,5268,Hölsä,Maiju,Suomen Kristillisdemokraatit (KD),0,F,0
11 Keski-Suomen vaalipiiri,6082,Hölttä,Arto,Suomen Kristillisdemokraatit (KD),0,M,0
09 Savo-Karjalan vaalipiiri,4808,Hölttä,Harri,Vihreä liitto,39,M,0
11 Keski-Suomen vaalipiiri,4690,Ihalainen,Lauri,Suomen Sosialidemokraattinen Puolue,67,M,1
06 Hämeen vaalipiiri,4872,Ihalainen,Tapani,Suomen Kristillisdemokraatit (KD),48,M,0
04 Satakunnan vaalipiiri,5203,Ihamäki,Pirita,Suomen Keskusta,40,F,0
12 Oulun vaalipiiri,5398,Iivonen,Päivi,Suomen Sosialidemokraattinen Puolue,27,F,0
11 Keski-Suomen vaalipiiri,5589,Ikkelä-Koski,Tuulia,Suomen Keskusta,49,F,0
02 Uudenmaan vaalipiiri,6167,Ikonen,Hannu Hanski,Itsenäisyyspuolue,61,M,0
09 Savo-Karjalan vaalipiiri,4733,Ikonen,Jaakko Antero,Suomen Sosialidemokraattinen Puolue,32,M,0
03 Varsinais-Suomen vaalipiiri,5189,Ikonen,Mauri,Suomen Keskusta,61,M,0
09 Savo-Karjalan vaalipiiri,4402,Ikonen,Päivi,Vihreä liitto,53,F,0
13 Lapin vaalipiiri,4986,Ikävalko,Marianne,Vasemmistoliitto,46,F,0
06 Hämeen vaalipiiri,4336,Ilkkala,Kari,Perussuomalaiset,54,M,0
04 Satakunnan vaalipiiri,4434,Iltanen,Marko,Suomen Sosialidemokraattinen Puolue,34,M,0
03 Varsinais-Suomen vaalipiiri,5533,Ilvessalo,Saara,Vihreä liitto,25,F,0
12 Oulun vaalipiiri,5806,Immonen,Olli,Perussuomalaiset,29,M,1
12 Oulun vaalipiiri,4822,Impola,Jaakko,Itsenäisyyspuolue,31,M,0
10 Vaasan vaalipiiri,5001,Ingo,Christoffer,Suomen ruotsalainen kansanpuolue,20,M,0
02 Uudenmaan vaalipiiri,5896,Isberg,Jeppe,Suomen Keskusta,0,M,0
02 Uudenmaan vaalipiiri,4481,Iso-Peura,Ilpo,Itsenäisyyspuolue,63,M,0
10 Vaasan vaalipiiri,4484,Isokoski,Sauli ,Vasemmistoliitto,40,M,0
07 Pirkanmaan vaalipiiri,4454,Isomaa,Annukka,Vasemmistoliitto,32,F,0
07 Pirkanmaan vaalipiiri,5667,Isomaa,Mika,Piraattipuolue,33,M,0
11 Keski-Suomen vaalipiiri,5114,Isomäki,Kauko,Perussuomalaiset,0,M,0
07 Pirkanmaan vaalipiiri,6008,Isosaari,Timo,Itsenäisyyspuolue,0,M,0
06 Hämeen vaalipiiri,4379,Isosuo,Juha,Kansallinen Kokoomus,57,M,0
04 Satakunnan vaalipiiri,4177,Jalonen,Ari Kristian,Perussuomalaiset,40,M,1
03 Varsinais-Suomen vaalipiiri,4485,Jalonen,Miikael,Suomen Kommunistinen Puolue,47,M,0
04 Satakunnan vaalipiiri,4985,Jalonen,Vesa,Suomen Keskusta,48,M,0
01 Helsingin vaalipiiri,4772,Jalovaara,Ville,Suomen Sosialidemokraattinen Puolue,39,M,0
12 Oulun vaalipiiri,6096,Janatuinen,Sari,Vasemmistoliitto,0,F,0
05 Ahvenanmaan maakunnan vaalipiiri,6139,Jansson,Cecilia ,Ahvenanmaan maltilliset,32,F,0
01 Helsingin vaalipiiri,4605,Janzon,Max,Suomen ruotsalainen kansanpuolue,40,M,0
07 Pirkanmaan vaalipiiri,6001,Jartti,Pirkko,Kansallinen Kokoomus,55,F,0
01 Helsingin vaalipiiri,4870,Jarva,Karelia,Piraattipuolue,33,F,0
12 Oulun vaalipiiri,5768,Jarva,Marisanna,Suomen Keskusta,33,F,0
07 Pirkanmaan vaalipiiri,5778,Jaskari,Harri,Kansallinen Kokoomus,50,M,1
02 Uudenmaan vaalipiiri,4990,Jern,Mikael,Suomen ruotsalainen kansanpuolue,48,M,0
02 Uudenmaan vaalipiiri,5402,Johansson,Birgitta,Vihreä liitto,0,F,0
06 Hämeen vaalipiiri,4383,Jokinen,Kalle,Kansallinen Kokoomus,53,M,1
06 Hämeen vaalipiiri,4518,Jokinen,Sari Susanna,Vihreä liitto,40,F,0
01 Helsingin vaalipiiri,4889,Jokio,Mikko,Vasemmistoliitto,39,M,0
09 Savo-Karjalan vaalipiiri,5229,Jorasmaa,Ilpo,Vihreä liitto,64,M,0
12 Oulun vaalipiiri,4381,Jouppila,Annika,Suomen ruotsalainen kansanpuolue,42,F,0
04 Satakunnan vaalipiiri,5960,Juhantalo,Kauko,Suomen Keskusta,72,M,0
12 Oulun vaalipiiri,6168,Jukkola,Heikki,Itsenäisyyspuolue,40,M,0
09 Savo-Karjalan vaalipiiri,4877,Julkunen,Kaarlo,Vasemmistoliitto,60,M,0
01 Helsingin vaalipiiri,5180,Jungner-Nordgren,Anna,Suomen ruotsalainen kansanpuolue,40,F,0
03 Varsinais-Suomen vaalipiiri,5745,Junnila,Vilhelm,Perussuomalaiset,33,M,0
13 Lapin vaalipiiri,6135,Juntikka,Tuomo,Kansallinen Kokoomus,67,M,0
12 Oulun vaalipiiri,5620,Juntunen,Hannu,Kansallinen Kokoomus,55,M,0
13 Lapin vaalipiiri,4222,Juntunen,Jarmo,Perussuomalaiset,59,M,0
13 Lapin vaalipiiri,5237,Juntunen,Marianne,Vihreä liitto,33,F,0
04 Satakunnan vaalipiiri,4206,Juntunen,Marketta,Suomen Kristillisdemokraatit (KD),64,F,0
12 Oulun vaalipiiri,6093,Juntunen,Vilho,Suomen Kommunistinen Puolue,61,M,0
02 Uudenmaan vaalipiiri,4681,Jurva,Johanna,Perussuomalaiset,37,F,1
13 Lapin vaalipiiri,5481,Jussila,Janne,Suomen Sosialidemokraattinen Puolue,40,M,0
07 Pirkanmaan vaalipiiri,4719,Jussila,Jorma,Suomen Kristillisdemokraatit (KD),56,M,0
10 Vaasan vaalipiiri,5480,Juurakko,Joanna,Suomen Sosialidemokraattinen Puolue,36,F,0
02 Uudenmaan vaalipiiri,5059,Juurikkala,Timo,Vihreä liitto,56,M,0
01 Helsingin vaalipiiri,5662,Juurikko,Krista,Perussuomalaiset,45,F,0
13 Lapin vaalipiiri,6163,Juuso,Tuomas Aslak,Suomen ruotsalainen kansanpuolue,30,M,0
01 Helsingin vaalipiiri,4363,Juva,Katriina (Kati),Vihreä liitto,57,F,0
02 Uudenmaan vaalipiiri,4317,Juvonen,Arja,Perussuomalaiset,47,F,0
12 Oulun vaalipiiri,6087,Jämsä-Uusitalo,Vaili,Perussuomalaiset,0,F,0
07 Pirkanmaan vaalipiiri,6000,JÄNTTI,Aleksi,Kansallinen Kokoomus,41,M,0
02 Uudenmaan vaalipiiri,4285,Järnefelt,Richard,Muutos 2011,51,M,0
08 Kaakkois-Suomen vaalipiiri,4945,Järnstedt,Teppo,Suomen Sosialidemokraattinen Puolue,32,M,0
04 Satakunnan vaalipiiri,4714,Järvelä,Tero,Perussuomalaiset,46,M,0
02 Uudenmaan vaalipiiri,4520,Järvenpää,Kaarina,Suomen Kristillisdemokraatit (KD),62,F,0
04 Satakunnan vaalipiiri,4866,Järvenpää,Pauli,Kansallinen Kokoomus,67,M,0
02 Uudenmaan vaalipiiri,4728,Järvi,Erik Andrei,Muutos 2011,38,M,0
10 Vaasan vaalipiiri,5493,Järviharju,Matti,Muutos 2011,71,M,0
11 Keski-Suomen vaalipiiri,4926,Järvinen,Ahti,Vasemmistoliitto,56,M,0
09 Savo-Karjalan vaalipiiri,4432,Järvinen,Anni,Vasemmistoliitto,32,F,0
07 Pirkanmaan vaalipiiri,5437,Järvinen,Hannu,Suomen Sosialidemokraattinen Puolue,46,M,0
08 Kaakkois-Suomen vaalipiiri,4204,Järvinen,Heli,Vihreä liitto,51,F,0
03 Varsinais-Suomen vaalipiiri,4854,Järvinen,Jere,Suomen Sosialidemokraattinen Puolue,42,M,0
01 Helsingin vaalipiiri,4281,Järvinen,Jukka,Suomen Sosialidemokraattinen Puolue,50,M,0
08 Kaakkois-Suomen vaalipiiri,5544,Järvinen,Jussi,Itsenäisyyspuolue,47,M,0
07 Pirkanmaan vaalipiiri,5167,Järviö,Helena ,Valitsijayhdistys Helena Järviö,0,F,0
02 Uudenmaan vaalipiiri,5413,Jääskeläinen,Jari,Vasemmistoliitto,48,M,0
02 Uudenmaan vaalipiiri,4183,Jääskeläinen,Jouko,Suomen Kristillisdemokraatit (KD),63,M,1
02 Uudenmaan vaalipiiri,4961,Jääskeläinen,Pietari,Perussuomalaiset,67,M,0
02 Uudenmaan vaalipiiri,4984,Kaakkola,Marjukka,Muutos 2011,53,F,0
08 Kaakkois-Suomen vaalipiiri,6010,Kaario,Jorma,Suomen Kristillisdemokraatit (KD),46,M,0
12 Oulun vaalipiiri,4516,Kaarlejärvi,Kati,Vihreä liitto,37,F,0
10 Vaasan vaalipiiri,4350,Kaarlela,Mikko,Piraattipuolue,30,M,0
04 Satakunnan vaalipiiri,5813,Kaarrela,Pasi,Kommunistinen Työväenpuolue - Rauhan ja Sosialismin puolesta,48,M,0
03 Varsinais-Suomen vaalipiiri,5477,Kaartinen,Juha,Piraattipuolue,29,M,0
06 Hämeen vaalipiiri,4582,Kaartinen,Leena,Suomen Kristillisdemokraatit (KD),73,F,0
08 Kaakkois-Suomen vaalipiiri,4587,Kaikko,Aarno,Itsenäisyyspuolue,74,M,0
02 Uudenmaan vaalipiiri,5747,Kaikkonen,Antti,Suomen Keskusta,41,M,1
11 Keski-Suomen vaalipiiri,4205,Kaikkonen,Riikka,Suomen Kommunistinen Puolue,30,F,0
12 Oulun vaalipiiri,6097,Kailo,Kaarina,Vasemmistoliitto,62,F,0
02 Uudenmaan vaalipiiri,5363,Kaira,Lauri,Kansallinen Kokoomus,57,,0
12 Oulun vaalipiiri,5051,Kaismo,Tomi,Kansallinen Kokoomus,39,M,0
02 Uudenmaan vaalipiiri,5407,Kaivanto,Petri,Itsenäisyyspuolue,46,M,0
07 Pirkanmaan vaalipiiri,5706,Kajan,Maija,Vihreä liitto,62,F,0
02 Uudenmaan vaalipiiri,4928,Kaleva,Atte,Kansallinen Kokoomus,36,M,0
07 Pirkanmaan vaalipiiri,5995,Kaleva,Keijo,Suomen Sosialidemokraattinen Puolue,66,M,0
07 Pirkanmaan vaalipiiri,4554,Kaleva,Lassi,Perussuomalaiset,49,M,0
04 Satakunnan vaalipiiri,5957,Kalli,Timo,Suomen Keskusta,0,M,0
03 Varsinais-Suomen vaalipiiri,4266,Kallio,Nina,Suomen Sosialidemokraattinen Puolue,48,F,0
03 Varsinais-Suomen vaalipiiri,4169,Kallio,Pentti,Vasemmistoliitto,61,M,0
09 Savo-Karjalan vaalipiiri,4149,Kallioinen,Toni,Suomen Kommunistinen Puolue,27,M,0
06 Hämeen vaalipiiri,4553,Kalliomaa,Antti,Suomen Keskusta,38,M,0
04 Satakunnan vaalipiiri,5730,Kalliomäki,Joni,Vasemmistoliitto,28,M,0
07 Pirkanmaan vaalipiiri,5445,Kallioniemi,petri,Piraattipuolue,43,M,0
12 Oulun vaalipiiri,4931,Kalliorinne,Risto,Vasemmistoliitto,43,M,1
10 Vaasan vaalipiiri,4215,Kallis,Bjarne,Kansallinen Kokoomus,69,M,0
03 Varsinais-Suomen vaalipiiri,5942,Kallonen,Kalevi,Suomen Keskusta,54,M,0
11 Keski-Suomen vaalipiiri,5227,Kalmari,Anne,Suomen Keskusta,46,F,1
02 Uudenmaan vaalipiiri,5475,Kalmi,Markus,Suomen Kristillisdemokraatit (KD),34,M,0
01 Helsingin vaalipiiri,5417,Kananen,Johannes,Suomen Keskusta,35,M,0
10 Vaasan vaalipiiri,6214,Kandolin,Kirsi,Suomen Sosialidemokraattinen Puolue,45,F,0
03 Varsinais-Suomen vaalipiiri,5921,Kanerva,Ilkka,Kansallinen Kokoomus,67,M,1
02 Uudenmaan vaalipiiri,5052,Kanerva,Pasi,Suomen Sosialidemokraattinen Puolue,46,M,0
01 Helsingin vaalipiiri,5864,Kanerva,Seppo,Perussuomalaiset,74,M,0
08 Kaakkois-Suomen vaalipiiri,4824,Kanervo,Marjaana,Vihreä liitto,0,F,0
12 Oulun vaalipiiri,4466,Kangas,Antero,Itsenäisyyspuolue,61,M,0
04 Satakunnan vaalipiiri,5838,Kangas-Männistö,Tupuna,Kansallinen Kokoomus,49,F,0
