vaalipiiri,id,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.
01 Helsingin vaalipiiri,4713,Anttila,Timo,Piraattipuolue,33,M,0
01 Helsingin vaalipiiri,5109,Apajalahti,Ahto,Piraattipuolue,26,M,0
01 Helsingin vaalipiiri,4276,Arajärvi,Mirja,Vasemmistoliitto,70,F,0
01 Helsingin vaalipiiri,4315,Arajärvi,Pentti,Suomen Sosialidemokraattinen Puolue,66,M,0
01 Helsingin vaalipiiri,5720,Arhinmäki,Paavo,Vasemmistoliitto,38,M,1
02 Uudenmaan vaalipiiri,5047,Aromaa,Juuso,Vasemmistoliitto,28,M,0
08 Kaakkois-Suomen vaalipiiri,4842,Aromaa,Mika,Piraattipuolue,28,M,0
03 Varsinais-Suomen vaalipiiri,5520,Aronen,Lauri,Vasemmistoliitto,28,M,0
03 Varsinais-Suomen vaalipiiri,5782,Arve,Minna ,Kansallinen Kokoomus,40,F,0
06 Hämeen vaalipiiri,5485,Arvidsson,Teija,Suomen Kristillisdemokraatit (KD),53,F,0
07 Pirkanmaan vaalipiiri,5996,Asell,Marko,Suomen Sosialidemokraattinen Puolue,44,M,0
07 Pirkanmaan vaalipiiri,5617,Asikainen,Lotta,Itsenäisyyspuolue,24,F,0
12 Oulun vaalipiiri,5282,Askeli,Leena,Suomen Kristillisdemokraatit (KD),50,F,0
03 Varsinais-Suomen vaalipiiri,4552,Aso,Janne,Perussuomalaiset,39,M,1
06 Hämeen vaalipiiri,5653,Aspholm,Helge,Itsenäisyyspuolue,61,M,0
07 Pirkanmaan vaalipiiri,4269,Asplund,Kirsi-Maarit,Perussuomalaiset,49,F,0
01 Helsingin vaalipiiri,5698,Auer,Irene,Suomen Kommunistinen Puolue,28,F,0
03 Varsinais-Suomen vaalipiiri,4461,Autero,Henri,Itsenäisyyspuolue,22,M,0
12 Oulun vaalipiiri,4848,Autio,Ari-Matti,Piraattipuolue,28,M,0
13 Lapin vaalipiiri,5340,Autto,Heikki,Kansallinen Kokoomus,30,M,1
09 Savo-Karjalan vaalipiiri,5615,Auvinen,Harri,Vihreä liitto,40,M,0
01 Helsingin vaalipiiri,5876,Auvinen,Tuomas,Suomen Kristillisdemokraatit (KD),28,M,0
03 Varsinais-Suomen vaalipiiri,5042,Auvinen,Ville,Suomen Kristillisdemokraatit (KD),49,M,0
10 Vaasan vaalipiiri,4524,Axell,May-Gret,Suomen Kristillisdemokraatit (KD),63,F,0
10 Vaasan vaalipiiri,5266,Backman,Jan,Vasemmistoliitto,44,M,0
08 Kaakkois-Suomen vaalipiiri,5466,Backman,Jouni,Suomen Sosialidemokraattinen Puolue,55,M,1
02 Uudenmaan vaalipiiri,4577,Baltzar,Veijo,Suomen Sosialidemokraattinen Puolue,72,M,0
03 Varsinais-Suomen vaalipiiri,5700,Baran,Nelli,Suomen Sosialidemokraattinen Puolue,30,F,0
08 Kaakkois-Suomen vaalipiiri,6020,Behm,Sari,Suomen Kristillisdemokraatit (KD),45,F,0
02 Uudenmaan vaalipiiri,4626,Bender,Ann-Katrin,Suomen ruotsalainen kansanpuolue,26,F,0
10 Vaasan vaalipiiri,4496,Berg,Kim,Suomen Sosialidemokraattinen Puolue,40,M,0
13 Lapin vaalipiiri,5219,Berg,Roland,Itsenäisyyspuolue,64,M,0
09 Savo-Karjalan vaalipiiri,5827,Berg-Väänänen,Nelli,Kansallinen Kokoomus,29,F,0
02 Uudenmaan vaalipiiri,5489,Bergh,Alla,Muutos 2011,59,F,0
02 Uudenmaan vaalipiiri,5542,Berner,Anne,Suomen Keskusta,51,F,0
10 Vaasan vaalipiiri,4753,Bertills,Anna,Suomen ruotsalainen kansanpuolue,35,F,0
12 Oulun vaalipiiri,6094,Bespalov,Juri,Suomen Kommunistinen Puolue,0,M,0
01 Helsingin vaalipiiri,6179,Biaudet,Eva,Suomen ruotsalainen kansanpuolue,54,F,0
05 Ahvenanmaan maakunnan vaalipiiri,4847,Birney,Julia,Ahvenanmaan liberaalit,36,F,0
10 Vaasan vaalipiiri,4382,Björklund,Mikaela,Suomen ruotsalainen kansanpuolue,41,F,0
02 Uudenmaan vaalipiiri,4971,Björklöf,Filip,Suomen ruotsalainen kansanpuolue,23,M,0
03 Varsinais-Suomen vaalipiiri,5926,Bland,Anne,Vihreä liitto,0,F,0
10 Vaasan vaalipiiri,5119,Blomqvist,Anna-Kajsa,Suomen ruotsalainen kansanpuolue,26,F,0
02 Uudenmaan vaalipiiri,5600,Blomqvist,Elin,Suomen ruotsalainen kansanpuolue,27,F,0
02 Uudenmaan vaalipiiri,5672,Blomqvist,Thomas,Suomen ruotsalainen kansanpuolue,50,M,1
10 Vaasan vaalipiiri,6062,Blomstedt,Åsa,Suomen ruotsalainen kansanpuolue,0,F,0
09 Savo-Karjalan vaalipiiri,5322,Bogdanoff,Eero,Perussuomalaiset,59,M,0
08 Kaakkois-Suomen vaalipiiri,5064,Bohm,Tarja,Vasemmistoliitto,56,F,0
02 Uudenmaan vaalipiiri,4648,Bollström,Harri,Suomen Kristillisdemokraatit (KD),52,M,0
01 Helsingin vaalipiiri,5393,Borgarsdóttir Sandelin,Silja,Suomen ruotsalainen kansanpuolue,30,F,0
11 Keski-Suomen vaalipiiri,5280,Brander,Tommi,Piraattipuolue,28,M,0
12 Oulun vaalipiiri,4921,Brantberg,Robert,Suomen ruotsalainen kansanpuolue,64,M,0
02 Uudenmaan vaalipiiri,4634,Bruun,Susanna,Suomen Sosialidemokraattinen Puolue,31,F,0
02 Uudenmaan vaalipiiri,5920,Bryggare,Arto,Suomen Sosialidemokraattinen Puolue,57,M,0
02 Uudenmaan vaalipiiri,4249,Bulut,Emil,Vihreä liitto,21,M,0
02 Uudenmaan vaalipiiri,4966,Burtsov,Jukka,Itsenäisyyspuolue,44,M,0
08 Kaakkois-Suomen vaalipiiri,5044,Byman,Mika,Vasemmistoliitto,34,M,0
01 Helsingin vaalipiiri,5095,Cacho,Janika,Suomen Kristillisdemokraatit (KD),0,F,0
01 Helsingin vaalipiiri,5560,Castén,Nina,Suomen Sosialidemokraattinen Puolue,31,F,0
09 Savo-Karjalan vaalipiiri,4526,Cederberg,Björn,Suomen Kristillisdemokraatit (KD),60,M,0
02 Uudenmaan vaalipiiri,5141,Chanth,Tatu,Vihreä liitto,37,M,0
02 Uudenmaan vaalipiiri,5211,Dachinger,Joonas,Vasemmistoliitto,43,M,0
02 Uudenmaan vaalipiiri,4672,Dahl,Rita,Suomen Kommunistinen Puolue,43,F,0
01 Helsingin vaalipiiri,5382,Dahlblom,Christina,Suomen ruotsalainen kansanpuolue,36,F,0
09 Savo-Karjalan vaalipiiri,4375,Dannenberg,Alia,Vasemmistoliitto,40,F,0
07 Pirkanmaan vaalipiiri,5128,Davidsson,Jukka,Itsenäisyyspuolue,58,M,0
02 Uudenmaan vaalipiiri,5603,Drake,Markus,Vihreä liitto,38,M,0
02 Uudenmaan vaalipiiri,5902,Drotár,Kristiina,Suomen Kristillisdemokraatit (KD),61,F,0
01 Helsingin vaalipiiri,4795,Ebeling,Mika,Suomen Kristillisdemokraatit (KD),50,M,0
02 Uudenmaan vaalipiiri,5085,Edelmann,Jan,Kansallinen Kokoomus,38,M,0
02 Uudenmaan vaalipiiri,5440,Edry,Tarja,Suomen Keskusta,47,F,0
02 Uudenmaan vaalipiiri,5886,Eerola,Antero,Vasemmistoliitto,40,M,0
08 Kaakkois-Suomen vaalipiiri,4443,Eerola,Juho,Perussuomalaiset,40,M,1
06 Hämeen vaalipiiri,5247,Eerola,Tapio,Suomen Keskusta,57,M,0
09 Savo-Karjalan vaalipiiri,4564,Eestilä,Markku,Kansallinen Kokoomus,58,M,1
03 Varsinais-Suomen vaalipiiri,5380,Eeva,Raija,Suomen Keskusta,53,F,0
01 Helsingin vaalipiiri,4157,Ehrnrooth,Cecilia,Suomen ruotsalainen kansanpuolue,42,F,0
12 Oulun vaalipiiri,4287,Eilola-Jokivirta,Markku,Vasemmistoliitto,44,M,0
02 Uudenmaan vaalipiiri,5438,Eklund,Tarja,Suomen Sosialidemokraattinen Puolue,58,F,0
01 Helsingin vaalipiiri,4929,Ekman,Johan,Suomen ruotsalainen kansanpuolue,31,M,0
13 Lapin vaalipiiri,4406,Ekorre-Nummikari,Sari,Vasemmistoliitto,47,F,0
01 Helsingin vaalipiiri,4385,Ekqvist,Marko,Perussuomalaiset,45,M,0
01 Helsingin vaalipiiri,5270,El-Khouri,Elie,Suomen Kristillisdemokraatit (KD),54,M,0
02 Uudenmaan vaalipiiri,4171,Elfgren,Thomas,Suomen ruotsalainen kansanpuolue,60,M,0
10 Vaasan vaalipiiri,6054,Elgbacka,Timo,Muutos 2011,0,M,0
01 Helsingin vaalipiiri,5532,Ellenberg,Benjamin,Suomen ruotsalainen kansanpuolue,22,M,0
01 Helsingin vaalipiiri,5454,Elmolhoda,Mikael,Suomen Kristillisdemokraatit (KD),26,M,0
02 Uudenmaan vaalipiiri,4802,Elo,Simon,Perussuomalaiset,28,M,0
02 Uudenmaan vaalipiiri,4584,Elo,Tiina,Vihreä liitto,44,F,0
03 Varsinais-Suomen vaalipiiri,4167,Elomaa,Ritva Kike,Perussuomalaiset,59,F,1
03 Varsinais-Suomen vaalipiiri,4887,Eloranta,Eeva-Johanna,Suomen Sosialidemokraattinen Puolue,48,F,1
07 Pirkanmaan vaalipiiri,4900,Elovaara,Tiina,Perussuomalaiset,28,F,0
